"Date","Home","HG","HxGt","HxGp","Away","AG","AxGt","AxGp","GD","xGDt","xGDp","Final","HxPts","AxPts"
2019-08-18,"CHI",2,1.4,1.94,"PHI",0,2.23,2.33,2,-0.83,-0.39,2,0.83,1.92
2019-08-18,"CIN",1,1.1,1.64,"NYC",4,1.09,1.64,-3,0.01,0,-3,1.34,1.37
2019-08-18,"CLB",2,1.34,1.34,"TOR",2,1.02,1.02,0,0.32,0.32,0,1.57,1.09
2019-08-18,"HOU",2,2.21,2.22,"COL",2,0.96,0.96,0,1.26,1.26,0,2.23,0.58
2019-08-18,"LAG",2,1.22,1.76,"SEA",1,2.45,2.53,1,-1.23,-0.77,0,0.66,2.17
2019-08-18,"MIN",1,1.4,1.4,"ORL",1,0.54,1.07,0,0.87,0.33,0,2.06,0.64
2019-08-18,"MTL",3,1.14,1.14,"FCD",3,2.1,2.69,0,-0.96,-1.55,0,0.71,2.07
2019-08-18,"NYRB",1,2.78,2.8,"NER",1,0.53,0.53,0,2.25,2.27,0,2.73,0.17
2019-08-18,"RSL",0,0.7,0.7,"LAFC",2,2.23,2.79,-2,-1.53,-2.09,-2,0.41,2.47
2019-08-18,"SKC",2,1.82,1.85,"SJE",1,2.02,2.03,1,-0.2,-0.18,1,1.26,1.52
2019-08-18,"VAN",1,0.49,0.49,"DCU",0,1.7,1.7,1,-1.21,-1.21,1,0.49,2.28
2019-08-15,"LAG",2,0.9,1.43,"FCD",0,1.09,1.09,2,-0.19,0.35,2,1.2,1.53
2019-08-15,"MIN",1,2.38,2.95,"COL",0,0.48,0.48,1,1.91,2.47,1,2.61,0.27
2019-08-15,"ORL",1,1.03,1.03,"SKC",0,1.4,1.41,1,-0.37,-0.38,1,1.03,1.64
2019-08-15,"POR",3,2,2,"CHI",2,0.33,0.33,1,1.67,1.67,1,2.6,0.25
2019-08-15,"RSL",3,0.94,0.95,"SEA",0,0.53,0.53,3,0.42,0.42,3,1.74,0.97
2019-08-12,"DCU",2,1.1,1.13,"LAG",1,2.79,2.8,1,-1.7,-1.68,1,0.43,2.37
2019-08-12,"LAFC",4,2.08,2.62,"NYRB",1,1.45,1.45,3,0.63,1.17,2,1.79,0.93
2019-08-11,"ATL",2,2.05,2.58,"NYC",1,0.88,0.88,1,1.17,1.71,1,2.13,0.61
2019-08-11,"CHI",3,0.74,0.74,"MTL",2,1.02,1.56,1,-0.28,-0.82,1,1.1,1.54
2019-08-11,"CLB",2,2.04,2.59,"CIN",2,0.69,0.69,0,1.35,1.9,0,2.31,0.46
2019-08-11,"COL",2,0.88,0.88,"SJE",1,1.85,1.86,1,-0.97,-0.98,1,0.66,2.11
2019-08-11,"FCD",5,2.74,2.76,"MIN",3,1.49,1.51,2,1.25,1.25,2,2.23,0.61
2019-08-11,"PHI",2,0.98,1,"HOU",1,0.79,0.8,1,0.19,0.19,1,1.51,1.14
2019-08-11,"POR",3,1.72,1.72,"VAN",1,1.16,1.16,2,0.56,0.57,2,1.74,1
2019-08-11,"SKC",1,0.98,1.52,"RSL",2,1.11,1.13,-1,-0.13,0.39,-1,1.24,1.47
2019-08-11,"TOR",1,1.25,1.26,"ORL",1,0.63,0.63,0,0.62,0.63,0,1.83,0.84
2019-08-10,"SEA",3,2.4,2.42,"NER",3,1.49,2.02,0,0.91,0.4,0,1.98,0.81
2019-08-09,"NYC",3,3.59,3.84,"HOU",2,0.36,0.36,1,3.24,3.49,1,2.9,0.06
2019-08-05,"DCU",1,1.46,1.52,"PHI",5,2.61,3.33,-4,-1.15,-1.8,-4,0.67,2.1
2019-08-05,"SEA",2,1.16,1.17,"SKC",3,0.8,1.34,-1,0.36,-0.17,-1,1.68,1.04
2019-08-04,"CIN",1,1.34,1.39,"VAN",2,1.22,1.22,-1,0.12,0.17,-1,1.41,1.34
2019-08-04,"COL",5,1.57,2.11,"MTL",2,1.31,1.85,3,0.26,0.26,3,1.59,1.18
2019-08-04,"HOU",0,0.56,0.56,"CHI",1,1.65,3.54,-1,-1.09,-2.97,-1,0.53,2.18
2019-08-04,"MIN",1,1.56,2.1,"POR",0,0.97,0.98,1,0.59,1.12,1,1.79,0.91
2019-08-04,"NER",0,0.49,0.49,"LAFC",2,2.78,2.78,-2,-2.29,-2.29,-2,0.17,2.73
2019-08-04,"ORL",2,1.41,1.43,"FCD",0,0.61,0.61,2,0.8,0.82,2,2.05,0.7
2019-08-04,"RSL",3,1.34,1.36,"NYC",1,0.63,0.63,2,0.72,0.74,2,1.94,0.74
2019-08-04,"SJE",1,1.91,2.44,"CLB",1,1.08,1.08,0,0.83,1.37,0,1.99,0.79
2019-08-03,"ATL",1,2.27,2.81,"LAG",0,0.85,0.85,1,1.42,1.96,3,2.35,0.49
2019-08-03,"NYRB",1,2.58,3.2,"TOR",0,0.86,0.89,1,1.72,2.31,2,2.46,0.38
2019-07-28,"CHI",0,2.28,2.37,"DCU",0,0.63,0.63,0,1.64,1.73,0,2.56,0.32
2019-07-28,"FCD",0,0.53,0.53,"RSL",0,1.02,1.02,0,-0.49,-0.49,0,0.85,1.77
2019-07-28,"HOU",0,1.18,1.18,"SEA",1,1.01,1.01,-1,0.17,0.17,-1,1.52,1.14
2019-07-28,"MIN",0,1.59,1.6,"VAN",0,0.34,0.34,0,1.25,1.25,0,2.4,0.38
2019-07-28,"MTL",4,1.75,1.75,"PHI",0,0.74,0.74,4,1.01,1.01,4,2.18,0.55
2019-07-28,"NER",4,1.99,2.54,"ORL",1,2.24,2.24,3,-0.26,0.29,3,1.14,1.6
2019-07-28,"NYRB",2,1.56,2.1,"CLB",3,1.34,1.38,-1,0.22,0.72,-1,1.55,1.17
2019-07-28,"POR",4,2.12,2.15,"LAG",0,2.78,2.78,4,-0.66,-0.63,4,1.02,1.83
2019-07-28,"SJE",2,1.44,1.44,"COL",1,1.05,1.05,1,0.39,0.39,2,1.66,1.07
2019-07-28,"TOR",2,0.84,0.85,"CIN",1,0.56,0.56,1,0.29,0.3,1,1.61,1.03
2019-07-27,"LAFC",4,1.3,1.84,"ATL",2,1.24,1.24,2,0.06,0.6,1,1.4,1.36
2019-07-27,"NYC",3,1.41,1.41,"SKC",1,1.17,1.18,2,0.23,0.23,2,1.54,1.15
2019-07-22,"ORL",0,1.19,1.29,"NYRB",1,1.56,1.56,-1,-0.36,-0.27,-1,1.07,1.63
2019-07-22,"SEA",1,2.92,2.92,"POR",2,2.06,2.19,-1,0.87,0.73,-1,1.96,0.88
2019-07-21,"ATL",2,2.19,2.72,"DCU",0,0.98,0.98,2,1.21,1.74,2,2.19,0.54
2019-07-21,"CIN",0,0.94,0.96,"NER",2,2.19,2.23,-2,-1.25,-1.27,-2,0.55,2.26
2019-07-21,"CLB",2,1.01,1.01,"MTL",1,1.09,1.21,1,-0.08,-0.2,1,1.26,1.38
2019-07-21,"COL",1,1.17,1.17,"NYC",2,2.55,2.57,-1,-1.38,-1.4,-1,0.52,2.3
2019-07-21,"PHI",2,1.14,1.14,"CHI",0,0.83,0.83,2,0.31,0.31,2,1.58,1.06
2019-07-21,"RSL",1,0.65,0.65,"MIN",1,0.61,0.64,0,0.04,0.02,0,1.34,1.25
2019-07-21,"SKC",0,0.98,0.98,"FCD",2,1.09,1.09,-2,-0.11,-0.11,-2,1.23,1.47
2019-07-21,"TOR",1,1.82,1.85,"HOU",3,1.16,1.16,-2,0.66,0.69,-2,1.83,0.88
2019-07-21,"VAN",1,0.51,0.51,"SJE",3,2.49,2.52,-2,-1.98,-2.01,-2,0.26,2.63
2019-07-20,"LAG",3,0.88,0.91,"LAFC",2,1.41,1.95,1,-0.53,-1.04,1,0.94,1.8
2019-07-19,"CIN",1,0.79,1.33,"DCU",4,1.35,1.35,-3,-0.56,-0.02,-3,0.91,1.82
2019-07-19,"POR",1,1.79,1.8,"ORL",1,0.2,0.2,0,1.59,1.59,0,2.52,0.28
2019-07-18,"ATL",5,2.63,2.64,"HOU",0,0.23,0.23,5,2.41,2.41,5,2.81,0.1
2019-07-18,"CHI",2,1.55,1.55,"CLB",2,0.91,0.91,0,0.64,0.64,0,1.84,0.86
2019-07-18,"NER",4,2.97,3.03,"VAN",0,1.33,1.33,4,1.65,1.7,4,2.36,0.46
2019-07-18,"TOR",3,1.36,1.89,"NYRB",1,1.98,1.99,2,-0.62,-0.09,2,0.97,1.8
2019-07-14,"CHI",1,2.04,3.24,"CIN",2,1.26,1.26,-1,0.78,1.98,-1,1.92,0.81
2019-07-14,"MIN",1,1.56,1.58,"FCD",0,0.87,1.41,1,0.69,0.17,1,2.02,0.76
2019-07-14,"MTL",0,1.28,1.28,"TOR",2,1.02,1.04,-2,0.26,0.24,-2,1.57,1.17
2019-07-14,"NYRB",2,1.18,1.78,"NYC",1,0.8,0.8,1,0.38,0.98,1,1.7,1.02
2019-07-14,"ORL",1,0.64,0.64,"CLB",0,0.85,0.85,1,-0.21,-0.21,1,1.15,1.48
2019-07-14,"POR",1,0.95,1.49,"COL",2,1.85,1.85,-1,-0.9,-0.36,0,0.71,2.01
2019-07-14,"RSL",4,1.41,1.41,"PHI",0,0.17,0.17,4,1.24,1.24,4,2.44,0.35
2019-07-14,"SEA",2,2.49,2.49,"ATL",1,0.93,0.93,1,1.57,1.57,1,2.38,0.47
2019-07-14,"VAN",0,0.69,0.69,"SKC",2,2.57,2.59,-2,-1.88,-1.9,-3,0.26,2.65
